Iteraciones (eje x),Media de la población i-ésima (Eje y)
1,1006.516
2,646.7755
3,597.3885
4,622.773
5,396.095
6,257.24
7,1214.9965
8,241.8975
9,233.2435
10,568.243
11,221.426
12,568.7555
13,686.5565
14,225.449
15,563.2475
16,561.8605
17,207.08
18,196.4155
19,211.884
20,216.3605
21,563.679
22,324.4135
23,442.609
24,216.241
25,214.656
26,385.069
27,727.1835
28,615.446
29,211.2305
30,669.3425
31,552.1085
32,665.1705
33,216.25
34,1097.726
35,208.6705
36,823.0775
37,869.974
38,866.837
39,192.059
40,183.0665
41,188.5805
42,418.8975
43,530.175
44,415.7035
45,717.659
46,202.679
47,198.4485
48,634.985
49,892.9825
50,194.741
51,202.264
52,573.7305
53,203.191
54,525.0915
55,856.446
56,182.4575
57,162.7605
58,175.5685
59,606.619
60,595.4085
61,193.1595
62,673.375
63,502.6415
64,420.0045
65,685.642
66,403.447
67,519.6055
68,391.7065
69,459.9365
70,183.5825
71,182.5055
72,185.5105
73,887.953
74,185.026
75,195.0145
76,195.488
77,188.1435
78,172.729
79,170.873
80,288.2715
81,184.968
82,676.956
83,181.897
84,514.8605
85,184.0025
86,524.289
87,182.998
88,394.2185
89,405.4235
90,507.4105
91,164.4345
92,941.088
93,152.715
94,772.54
95,327.147
96,571.5395
97,514.4655
98,175.1335
99,510.612
100,158.134
101,171.041
102,329.0025
103,670.082
104,176.504
105,173.52
106,605.0
107,872.8475
108,175.328
109,632.3015
110,405.0955
111,159.7465
112,161.1125
113,645.0555
114,643.1205
115,280.3395
116,163.782
117,170.8485
118,627.002
119,168.694
120,836.58
121,832.5905
122,298.1525
123,404.177
124,608.7675
125,454.366
126,165.804
127,158.4795
128,272.599
129,158.8975
130,278.5195
131,164.3085
132,559.9465
133,811.6485
134,668.6475
135,280.4965
136,682.4215
137,282.9005
138,159.6395
139,145.01
140,304.103
141,148.6175
142,430.315
143,751.8895
144,637.82
145,140.01
146,964.0855
147,274.2365
148,221.6685
149,167.4665
150,669.0425
151,164.053
152,270.504
153,597.861
154,152.5615
155,692.088
156,156.5585
157,143.139
158,151.0945
159,381.3685
160,151.8775
161,266.613
162,156.4495
163,148.307
164,154.402
165,155.268
166,151.3555
167,483.718
168,490.1955
169,159.8585
170,607.4205
171,158.92
172,172.595
173,169.454
174,172.4905
175,163.227
176,160.175
177,162.817
178,330.058
179,460.087
180,189.322
181,182.6465
182,338.5845
183,866.2945
184,716.49
185,176.5255
186,356.0025
187,518.3665
188,511.728
189,187.4955
190,621.564
191,391.566
192,168.428
193,570.589
194,509.4335
195,178.7105
196,785.6645
197,178.0845
198,176.267
199,177.1405
200,195.1745
201,605.8675
202,300.7025
203,544.202
204,461.5595
205,181.46
206,825.6175
207,297.555
208,187.264
209,502.8945
210,164.952
211,176.989
212,298.365
213,501.336
214,183.6155
215,195.1545
216,682.5725
217,477.2925
218,196.8395
219,358.0255
220,537.161
221,537.8815
222,605.314
223,170.3355
224,295.0405
225,682.7505
226,203.88
227,741.9095
228,218.526
229,204.853
230,754.444
231,213.605
232,217.514
233,559.071
234,513.0615
235,242.018
236,227.669
237,845.74
238,528.853
239,455.2435
240,591.4505
241,587.654
242,250.0615
243,468.6755
244,593.07
245,399.471
246,393.0755
247,268.8185
248,681.3195
249,256.7595
250,613.9995
251,418.977
252,382.378
253,487.785
254,479.7675
255,1016.4165
256,592.9445
257,456.456
258,611.981
259,244.665
260,244.133
261,460.8305
262,249.014
263,369.7875
264,256.984
265,375.7555
266,777.407
267,259.289
268,889.8595
269,624.0965
270,230.1185
271,213.7025
272,706.412
273,566.4175
274,777.1105
275,663.9635
276,220.366
277,206.3375
278,208.0395
279,838.0025
280,607.714
281,611.057
282,548.7635
283,219.6355
284,211.6895
285,203.5925
286,202.93
287,205.9405
288,209.94
289,200.966
290,520.02
291,584.6985
292,315.36
293,204.5045
294,715.113
295,207.575
296,206.8125
297,188.8435
298,204.2945
299,585.74
300,530.8305
301,311.7305
302,206.2285
303,201.239
304,201.772
305,197.2265
306,367.2005
307,487.9395
308,1026.308
309,334.7705
310,218.6065
311,336.318
312,224.2875
313,210.104
314,331.244
315,216.14
316,228.5815
317,716.0015
318,235.0235
319,350.331
320,245.256
321,354.8405
322,247.462
323,638.277
324,240.5595
325,694.7405
326,244.3725
327,363.693
328,590.8865
329,544.81
330,553.185
331,279.4355
332,284.5745
333,395.5065
334,277.166
335,1044.008
336,818.323
337,272.0685
338,260.277
339,279.972
340,824.927
341,812.2745
342,624.866
343,718.4705
344,595.331
345,487.96
346,696.623
347,952.4405
348,679.207
349,709.066
350,791.9425
351,602.6475
352,617.2295
353,792.537
354,888.844
355,396.6905
356,991.8515
357,799.01
358,257.9305
359,426.6385
360,759.345
361,284.4345
362,284.1365
363,587.602
364,435.97
365,314.2185
366,428.243
367,303.573
368,1014.2895
369,678.949
370,622.1895
371,701.5145
372,279.816
373,810.6305
374,270.108
375,280.497
376,275.0505
377,1106.1305
378,784.6835
379,875.8765
380,278.9065
381,275.867
382,392.309
383,780.4625
384,862.2965
385,993.3485
386,274.1805
387,393.7495
388,768.5935
389,378.432
390,782.998
391,372.2185
392,925.165
393,357.461
394,246.106
395,370.9105
396,253.5325
397,908.398
398,251.41
399,527.919
400,980.6015
401,275.9845
402,556.322
403,992.7095
404,600.418
405,810.6405
406,263.3545
407,983.3535
408,481.9075
409,286.852
410,617.199
411,808.6555
412,314.9275
413,812.387
414,620.45
415,403.514
416,563.334
417,293.319
418,287.0285
419,412.279
420,802.4605
421,298.5545
422,419.369
423,819.84
424,957.66
425,962.678
426,1105.8955
427,706.1065
428,280.068
429,556.099
430,792.397
431,272.254
432,822.42
433,934.3305
434,266.663
435,796.822
436,562.6045
437,301.641
438,291.614
439,422.5275
440,822.2625
441,303.2665
442,304.8715
443,311.7075
444,303.0225
445,298.585
446,715.503
447,299.697
448,706.219
449,552.4965
450,277.886
451,1007.18
452,829.617
453,417.233
454,410.316
455,801.525
456,1015.053
457,291.791
458,570.29
459,846.5345
460,304.8595
461,425.104
462,307.462
463,422.926
464,642.6415
465,312.0385
466,432.5735
467,436.825
468,332.032
469,655.842
470,336.5035
471,333.7325
472,326.89
473,745.495
474,831.168
475,436.4615
476,821.5435
477,1029.133
478,299.4065
479,813.1655
480,440.813
481,444.3005
482,313.7625
483,636.723
484,428.72
485,318.767
486,324.9485
487,643.255
488,848.057
489,303.965
490,312.3365
491,1034.307
492,299.0335
493,826.967
494,269.354
495,809.4115
496,296.504
497,288.3675
498,625.3885
499,905.0155
500,1021.9705
501,839.3325
502,632.888
503,418.1145
504,300.7945
505,288.387
506,393.131
507,951.794
508,822.2635
509,605.761
510,275.061
511,864.699
512,983.2985
513,264.904
514,791.117
515,271.7355
516,271.1865
517,388.759
518,991.467
519,384.1165
520,611.657
521,390.3655
522,776.3845
523,776.632
524,401.2645
525,790.8115
526,1034.8235
527,281.439
528,597.7185
529,880.9995
530,394.2065
531,283.468
532,395.6755
533,762.667
534,264.5495
535,254.669
536,266.737
537,255.461
538,260.832
539,270.075
540,995.704
541,282.44
542,594.1525
543,986.7755
544,983.531
545,859.296
546,788.9335
547,978.6125
548,265.521
549,260.3925
550,776.194
551,490.7625
552,273.182
553,776.423
554,278.55
555,616.3075
556,415.7725
557,616.202
558,306.9125
559,432.25
560,305.1205
561,793.1485
562,322.2665
563,322.412
564,1039.3885
565,1044.539
566,338.067
567,676.3755
568,617.1175
569,1065.592
570,355.6665
571,877.6665
572,959.51
573,363.8165
574,679.586
575,340.676
576,511.6085
577,1071.06
578,371.97
579,526.8395
580,864.393
581,355.7035
582,1120.897
583,683.733
584,684.548
585,844.5635
586,1072.6675
587,849.5255
588,854.3835
589,1074.812
590,357.343
591,863.9085
592,678.193
593,1089.0085
594,699.682
595,376.9145
596,749.615
597,695.6665
598,637.6435
599,357.365
600,871.4765
601,854.024
602,635.4235
603,1068.3645
604,1027.516
605,472.949
606,683.2725
607,369.9315
608,696.823
609,1128.6125
610,472.8705
611,570.1035
612,969.538
613,850.8195
614,351.874
615,350.1875
616,682.171
617,679.3035
618,366.199
619,898.733
620,965.244
621,864.166
622,375.423
623,890.6925
624,1095.6545
625,710.036
626,933.986
627,923.7255
628,375.196
629,974.4675
630,379.8015
631,383.661
632,986.4415
633,1097.189
634,365.0195
635,951.9695
636,1070.318
637,865.5325
638,455.136
639,705.447
640,1053.519
641,941.039
642,669.508
643,741.645
644,1020.1825
645,826.1095
646,851.481
647,675.336
648,1075.333
649,1063.265
650,1060.149
651,1065.6375
652,340.7515
653,942.835
654,341.6485
655,662.891
656,664.7775
657,323.892
658,646.7985
659,630.36
660,298.3535
661,819.4165
662,1028.7925
663,1033.2405
664,815.8715
665,852.439
666,336.427
667,332.2705
668,660.8165
669,1048.97
670,687.0045
671,677.777
672,1071.729
673,841.2435
674,472.708
675,691.529
676,875.2135
677,848.7945
678,369.6225
679,1073.513
680,1074.5245
681,844.3835
682,625.865
683,1052.793
684,459.2655
685,837.4485
686,327.5415
687,328.043
688,342.2435
689,663.2715
690,841.465
691,936.2195
692,337.585
693,1057.9565
694,332.9995
695,332.246
696,1018.7995
697,351.0145
698,679.856
699,355.9345
700,687.767
701,352.829
702,673.9485
703,355.727
704,481.716
705,695.003
706,842.232
707,679.136
708,826.966
709,338.844
710,654.213
711,1048.3115
712,331.67
713,335.9485
714,654.985
715,1035.776
716,309.947
717,320.0775
718,326.2735
719,1044.4175
720,326.417
721,852.6925
722,1057.4805
723,656.283
724,816.308
725,447.597
726,340.23
727,331.9455
728,1042.5405
729,1037.7175
730,1028.779
731,302.1475
732,301.685
733,640.135
734,799.7945
735,858.0545
736,631.9695
737,1010.888
738,626.811
739,632.277
740,309.9985
741,850.145
742,632.067
743,1034.8715
744,1031.832
745,670.0045
746,615.6485
747,1014.9335
748,608.614
749,288.7685
750,285.777
751,277.4085
752,1004.4175
753,1008.2005
754,293.657
755,307.606
756,985.0285
757,322.6935
758,1041.385
759,314.4035
760,1014.064
761,633.253
762,1022.272
763,622.0285
764,625.1165
765,1010.9585
766,292.696
767,658.382
768,998.4675
769,1008.757
770,292.4975
771,281.365
772,284.367
773,608.9225
774,1007.1675
775,290.944
776,297.2465
777,312.4935
778,303.3055
779,309.6295
780,305.1695
781,303.4465
782,1024.8315
783,312.1385
784,912.803
785,1017.359
786,308.446
787,310.239
788,636.1915
789,1025.5625
790,302.1175
791,1013.9495
792,307.9465
793,899.896
794,1027.2115
795,301.957
796,633.142
797,1028.419
798,640.794
799,313.601
800,317.0615
801,637.2585
802,656.911
803,634.7875
804,308.673
805,1028.8
806,1039.9835
807,1034.021
808,662.047
809,1041.6895
810,655.2925
811,948.581
812,1044.7525
813,1045.0845
814,321.6485
815,300.937
816,1037.451
817,1035.416
818,305.962
819,321.081
820,1024.209
821,611.9415
822,1006.571
823,1015.8905
824,311.5545
825,313.2405
826,331.133
827,331.2045
828,357.659
829,1068.5625
830,690.5125
831,852.0045
832,344.685
833,1082.975
834,360.181
835,1070.984
836,675.195
837,1076.7975
838,1052.9475
839,1067.986
840,352.73
841,1079.2795
842,852.294
843,692.4125
844,1086.451
845,1085.4975
846,1094.6315
847,1093.989
848,1089.998
849,1094.2775
850,701.153
851,1092.6295
852,686.557
853,665.6475
854,347.6685
