Iteraciones (eje x),Media de la población i-ésima (Eje y)
1,1648.475
2,1284.2
3,923.2375
4,2221.8375
5,2638.0875
6,2370.3875
7,927.325
8,1534.3
9,1743.8875
10,1297.3375
11,3344.0875
12,1260.55
13,1044.4
14,3506.0875
15,872.1375
16,1219.8875
17,3893.05
18,1234.325
19,1388.2375
20,3845.2625
21,1599.55
22,1472.8625
23,1600.9375
24,4034.3625
25,4226.475
26,1024.6
27,3586.1
28,768.45
29,1088.6375
30,1472.8625
31,1664.975
32,1729.0125
33,1664.975
34,3906.2875
35,1408.825
36,768.45
37,3842.25
38,1152.675
39,896.525
40,704.4125
41,768.45
42,3778.2125
43,3778.2125
44,3842.25
45,3714.175
46,1408.825
47,4226.475
48,4482.625
49,5123.0
50,4034.3625
51,4418.5875
52,3906.2875
53,4034.3625
54,1280.75
55,3778.2125
56,3970.325
57,3778.2125
58,1536.9
59,1088.6375
60,1280.75
61,4034.3625
62,4418.5875
63,1921.125
64,1664.975
65,1408.825
66,4290.5125
67,4738.775
68,4418.5875
69,1472.8625
70,4546.6625
71,4226.475
72,4738.775
73,1793.05
74,1280.75
75,3522.0625
76,1536.9
77,4482.625
78,3650.1375
79,1152.675
80,4418.5875
81,1344.7875
82,1472.8625
83,1280.75
84,3970.325
85,960.5625
86,1472.8625
87,4546.6625
88,4098.4
89,1344.7875
90,4162.4375
91,4098.4
92,4482.625
93,2113.2375
94,4098.4
95,4226.475
96,4034.3625
97,4098.4
98,1793.05
99,1921.125
100,4482.625
101,1664.975
102,4482.625
103,1921.125
104,1280.75
105,1216.7125
106,3714.175
107,1152.675
108,1088.6375
109,1857.0875
110,4226.475
111,2049.2
112,3201.875
113,640.375
114,1024.6
115,1280.75
116,3778.2125
117,1408.825
118,4866.85
119,3522.0625
120,1472.8625
121,1729.0125
122,3714.175
123,1280.75
124,4290.5125
125,4034.3625
126,1857.0875
127,1344.7875
128,3906.2875
129,3970.325
130,1152.675
131,3650.1375
132,1472.8625
133,3970.325
134,1280.75
135,832.4875
136,3778.2125
137,1985.1625
138,4226.475
139,1216.7125
140,1793.05
141,4610.7
142,1793.05
143,3842.25
144,4162.4375
145,3778.2125
146,1729.0125
147,4034.3625
148,4610.7
149,4482.625
150,4034.3625
151,1280.75
152,4482.625
153,1921.125
154,1088.6375
155,1216.7125
156,1729.0125
157,4226.475
158,4226.475
159,3970.325
160,2113.2375
161,3842.25
162,4290.5125
163,4290.5125
164,1729.0125
165,4290.5125
166,1536.9
167,3650.1375
168,3650.1375
169,3009.7625
170,384.225
171,576.3375
172,640.375
173,1024.6
174,1152.675
175,3714.175
176,1600.9375
177,1408.825
178,1472.8625
179,1152.675
180,896.525
